background,Chrt_ID,이름,Chrt_OnF,Event,Sound,BGM,BGM2,Text,비고
,,,,,,,,제목 : 수면 위의 것들,
black,,,,,,sad5,,"(아침이 되자마자, 복잡해진 생각을 정리하기 위해 내 막사로 돌아왔다.",
,,,,,,,,(머리가 지끈거렸다.,검은 화면
,,,,,,,,(모든 사실을 부정할 수만 있다면 그렇게 하고 싶었다.,
,,,,,,,,(하지만 현실은 달랐다.,
,,,,,,,,"(스승님이 황후의 일을 돕고 있었고, 황후가 모든 내막의 진실이었다.",
,,,,,,,,(황제를 지독히 사랑했던 황후는 우리가 기억하는 황후가 아니라는 것이다.,
Camp_in,S,세레나,,,,,,대체 왜 그런 거지?,막사 내부
,S,세레나,,,,,,"권력욕 때문에? 이미 황후라는 위치에다가, 곧 황제가 될 아들까지 있는데도?",
,,,,,,,,(그녀의 행동 출처들은 모두 불분명했다.,
,,,,,,,,(그저 낌새가 좋지 않다는 것만은 확실했다.,
,,,,,,,,"(사실 여기서 제일 이해할 수 없는 것은,",
,,,,,,,,"(스승님이 황후의 계획을 처음부터 알고 있었고, 그녀를 돕고 있다는 것이었다.",
,S,세레나,,,,,,"황실 내부에서 분란이 있다는 걸 알면, 기사들이 불안해할 거야.",
,S,세레나,,,,,,일단 이 일은 기사단에게 비밀로 부쳐야만 해.,
,,,,,,,,"(그때, 뒤에서 누군가가 내 이름을 불렀다.",
,H,헤안,H_default_def,,,,,세레나님.,
,,,,,,hean1,,(헤안이었다. ,
,,,,,,,,"(기사단으로 복귀한 것을 보니, 다행히도 공작가가 어느 정도 정리가 된 모양이었다.",
,,,,,,,,"(그 이후로, 꽤 오랜만이었다.",
,,,,,,,,"(어색할 것 같았지만, 그렇지 않았다. ",
,,,,,,,,"(오히려 그를 보자마자, 긴장이 풀린 느낌이 들었다.",
,S,세레나,,,,,,헤안···.,
,H,헤안,H_default_emb,,,,,무슨 일 있으십니까?,
,,,,,,,,(그는 여전했다. 내 안색부터 살피는 것이.,
,,,,,,,,(도저히 이 모든 것을 감당할 자신이 없었다.,
,,,,,,,,"(현재, 믿을 수 있는 사람은 헤안뿐이라고 생각했다.",
,,,,,,,,(게다가 그는 이 사실을 알아야 할 사람 중 하나였다.,
,S,세레나,,,,,,"지금부터 제가 하는 말, 잘 들어주세요.",
,S,세레나,,,,,,"스승··· 아니, 에런님이 황실의 사람이었습니다.",
,S,세레나,,,,,,"표면적이 아니라, 실질적으로요. ",
,S,세레나,,,,,,그는 황후의 첩자였습니다.,
,S,세레나,,,,,,"황실에서 일하는 건 알고 있었지만, 제국의 사람들을 위해 일하고 있었다고 생각했어요.",
,,,,,,,,(나는 주먹을 세게 쥐었다.,
,S,세레나,,,,,,바보같이···. ,
,S,세레나,,,,,,곧이곧대로 다 믿고 있었다고요 제가.,
,S,세레나,,,,,,"그리고, 이 모든 일의 배후가 황후였어요.",
,,,,,,,,(나는 이후 더 자세한 설명을 덧붙였다.,
,,,,,,,,"(헤안은 심각한 표정을 하고, 내 모든 말에 귀 기울였다.",
,H,헤안,H_default_des,,,,,사실··· 에런님에 관해서는 이전부터 따로 조사하고 있었습니다.,
,H,헤안,H_default_des,,,,,"기사단에 속하긴 했으나, 그는 황제의 측근이었으니까요.",
,H,헤안,H_default_des,,,,,"하지만, 세레나님께서 신뢰하시는 것 같아서 섣불리 건드리지는 않았습니다만···.",
,,,,,,,,(내가 유독 스승님에게 약했던 게 타인의 눈에도 보였던 모양이었다.,
,,,,,,,,(창피했다. 감정에 너무나도 쉽게 흔들렸던 내 모습이.,
,,,,,,,,"(그리고, 헤안은 내게 서류 더미를 내밀었다.",
,H,헤안,H_default_def,,,,,일단 황후에 관해서는···.,
,H,헤안,H_default_def,,,,,"마침, 레이어스가와 황실 간의 서류들을 살펴보며 이상한 점이 있어서 챙겨왔습니다.",
,H,헤안,H_default_def,,,,,이건 레이어스가와 황실이 체결한 무기 관련 서류입니다.,
,H,헤안,H_default_def,,,,,"서명에는 황제의 친필이 아닌, 황후의 친필로 보이는 사인이 남겨져있었습니다.",
,H,헤안,H_default_def,,,,,"자칫 황제의 것으로 보일 수 있으나, 여태의 다른 서류들과 비교해 봤을 때 차이점이 있었습니다.",
,H,헤안,H_default_def,,,,,"더불어, 최근 들어 황제가 이상했다는 황실 사용인들의 증언도 얻어냈습니다.",
,H,헤안,H_default_def,,,,,"음식도 제대로 못 먹고, 말도 제대로 못 했다고 하더군요.",
,H,헤안,H_default_def,,,,,"이와 함께 세레나님의 말을 들어보니, 모든 원흉이 황후의 짓인 것에는 틀림이 없겠네요.",
,S,세레나,,,,,,네. 그녀의 목표가 뭔지는 아직 확실하지 않지만요.,
