background,Chrt_ID,이름,Chrt_Pos,Event,sound,BGM,BGM2,Text,비고
,,,,,,,,제목 : 발칙한 고백,
Forest_night,,,,,,comfort7,,"(신의 축복이 작동하기 시작한 건지, 상황이 좋게 돌아가기 시작했다.",
,,,,,,,,(긴박한 상황이라 아드리안은 이곳에 오지 못 할 것이라 생각했다.,
,,,,,,,,"(그런데 그가 극적으로 이곳에 도착한 걸 보니,",
,,,,,,,,(내가 정말 신에게 선택받은 인간이긴 한가 보다.,
,S,세레나,,,,,,고마워.,
,S,세레나,,,,,,"녹스, 아드리안 둘 다.",
,,,,,,,,"(먼저, 둘에게 감사 인사를 전했다.",
,,,,,,,,(그리고 그들에게 현 제국에 관해 자세한 상황을 설명했다.,
,A,아드리안,A_default_def,,,,,제국도 완전 막장이네.,
,A,아드리안,A_default_smi,,,,,"그래도, 내가 지금 타이밍 좋게 잘 왔다는 거지?",
,S,세레나,,,,,,"응, 그래.",
,H,헤안,H_default_def,,,,,정말 다행입니다.,
,H,헤안,H_default_def,,,,,"하지만, 지금 시간이 많지 않습니다.",
,S,세레나,,,,,,"그래, 헤안 말대로야.",
,S,세레나,,,,,,빨리 대책을 세워야 해.,
,,,,,,,,(우리는 급박한 상황 속에서 대책을 세우기 시작했다.,
,S,세레나,,,,,,일단 황후에게 굴복하고 싶지는 않아.,
,S,세레나,,,,,,다들 같은 의견인 거지?,
,A,아드리안,A_default_def,,,,,당연한 거 아니야?,
,A,아드리안,A_default_def,,,,,"너희가 여기서 굴복하면, 우리 왕국 입장도 난처해져.",
,H,헤안,H_default_def,,,,,저도 동의합니다.,
,H,헤안,H_default_def,,,,,제국과 왕국 둘 모두 끝이 좋지 못할 겁니다.,
,S,세레나,,,,,,저도 같은 생각이에요. 하지만···.,
,S,세레나,,,,,,황후의 세력이 너무 막강해요.,
,S,세레나,,,,,,"사실 어느 정도로 준비했는지 감도 잡히지 않아요, 지금까지 비밀리에 반란을 준비한 정도면",
,S,세레나,,,,,,저희가 예상한 것보다 훨씬 거대한 규모가 그녀를 뒷받침하고 있을지 몰라요.,
,H,헤안,H_default_def,,,,,맞습니다. ,
,H,헤안,H_default_def,,,,,하지만 저희에겐 프리타하라 왕국의 기사단이 있지 않습니까? 충분히 승산이 있을 것이라 봅니다.,
,A,아드리안,A_default_bad,,,,,네가 왕국 사람이라도 된 것처럼 말한다? 말해도 내가 말해.,
,,,,,,,,(갑작스레 분위기가 이상해졌다.,
,,,,,,,,(나는 둘의 눈치를 보며 분위기를 와해시켜 보려 했다. 그때 녹스가 나섰다.,
,N,녹스,N_default_smi,,,,,아무튼 얘 도와줄 수 있다는 거지?,
,A,아드리안,A_default_def,,,,,"당연하지, 저 녀석과 약속했는걸.",
,N,녹스,N_default_smi,,,,,"좋네, 확실히 도움되고. 그치?",
,S,세레나,,,,,,응. 일단 어떻게 할지 구체적으로 논의해보자.,
,,,,,,,,(녹스의 능청스러움 덕분에 분위기가 비교적 빠르게 해결되었다.,
,,,,,,,,"(다 함께 머리를 맞대며 오랜 시간 논의한 결과,",
